"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","NATPOPDIST","INTMD","PC","A","2014",48.3,
"HUN","NATPOPDIST","INTMD","PC","A","2014",42.1,
"ISL","NATPOPDIST","RURAL","PC","A","2014",36.1,
"ITA","NATPOPDIST","INTMD","PC","A","2014",38.2,
"JPN","NATPOPDIST","RURAL","PC","A","2014",12.1,
"MEX","NATPOPDIST","RURAL","PC","A","2014",36.6,
"POL","NATPOPDIST","URBAN","PC","A","2014",21.9,
"ESP","NATPOPDIST","URBAN","PC","A","2014",48.7,
"TUR","NATPOPDIST","URBAN","PC","A","2014",51.7,
"SVN","NATPOPDIST","INTMD","PC","A","2014",43.8,
"CAN","NATPOPDIST","INTMD","PC","A","2014",16,
"FIN","NATPOPDIST","INTMD","PC","A","2014",12,
"FRA","NATPOPDIST","RURAL","PC","A","2014",16.9,
"GRC","NATPOPDIST","INTMD","PC","A","2014",23.9,
"HUN","NATPOPDIST","RURAL","PC","A","2014",40.3,
"IRL","NATPOPDIST","INTMD","PC","A","2014",0,
"ITA","NATPOPDIST","RURAL","PC","A","2014",9.1,
"MEX","NATPOPDIST","URBAN","PC","A","2014",46,
"NOR","NATPOPDIST","URBAN","PC","A","2014",12.4,
"SVK","NATPOPDIST","URBAN","PC","A","2014",11.3,
"CHE","NATPOPDIST","URBAN","PC","A","2014",41.5,
"SVN","NATPOPDIST","RURAL","PC","A","2014",56.2,
"AUS","NATPOPDIST","INTMD","PC","A","2014",10.1,
"AUT","NATPOPDIST","RURAL","PC","A","2014",45,
"CZE","NATPOPDIST","RURAL","PC","A","2014",4.9,
"DNK","NATPOPDIST","URBAN","PC","A","2014",30.2,
"DEU","NATPOPDIST","URBAN","PC","A","2014",57.1,
"ISL","NATPOPDIST","URBAN","PC","A","2014",0,
"JPN","NATPOPDIST","URBAN","PC","A","2014",56.5,
"SVK","NATPOPDIST","INTMD","PC","A","2014",63.8,
"ESP","NATPOPDIST","RURAL","PC","A","2014",13.3,
"CHE","NATPOPDIST","INTMD","PC","A","2014",49.6,
"TUR","NATPOPDIST","RURAL","PC","A","2014",24.9,
"USA","NATPOPDIST","INTMD","PC","A","2014",20.2,
"CHL","NATPOPDIST","RURAL","PC","A","2014",35.7,
"BEL","NATPOPDIST","URBAN","PC","A","2014",83.4,
"ISL","NATPOPDIST","INTMD","PC","A","2014",63.9,
"JPN","NATPOPDIST","INTMD","PC","A","2014",31.5,
"KOR","NATPOPDIST","RURAL","PC","A","2014",17.2,
"MEX","NATPOPDIST","INTMD","PC","A","2014",17.4,
"NLD","NATPOPDIST","RURAL","PC","A","2014",0,
"NOR","NATPOPDIST","INTMD","PC","A","2014",40.7,
"POL","NATPOPDIST","RURAL","PC","A","2014",46.9,
"SWE","NATPOPDIST","URBAN","PC","A","2014",22.3,
"GBR","NATPOPDIST","URBAN","PC","A","2014",70.1,
"BEL","NATPOPDIST","INTMD","PC","A","2014",14.1,
"CAN","NATPOPDIST","RURAL","PC","A","2014",27.6,
"DNK","NATPOPDIST","INTMD","PC","A","2014",28,
"FIN","NATPOPDIST","RURAL","PC","A","2014",59.1,
"DEU","NATPOPDIST","INTMD","PC","A","2014",25.5,
"GRC","NATPOPDIST","RURAL","PC","A","2014",40.6,
"IRL","NATPOPDIST","RURAL","PC","A","2014",72.5,
"ITA","NATPOPDIST","URBAN","PC","A","2014",52.7,
"NZL","NATPOPDIST","URBAN","PC","A","2014",44.6,
"PRT","NATPOPDIST","URBAN","PC","A","2014",53,
"GBR","NATPOPDIST","INTMD","PC","A","2014",27.9,
"EST","NATPOPDIST","URBAN","PC","A","2014",11.5,
"AUS","NATPOPDIST","RURAL","PC","A","2014",19.9,
"AUT","NATPOPDIST","URBAN","PC","A","2014",24,
"CZE","NATPOPDIST","URBAN","PC","A","2014",11.9,
"FRA","NATPOPDIST","URBAN","PC","A","2014",34.8,
"HUN","NATPOPDIST","URBAN","PC","A","2014",17.5,
"NZL","NATPOPDIST","INTMD","PC","A","2014",55.4,
"NOR","NATPOPDIST","RURAL","PC","A","2014",46.9,
"PRT","NATPOPDIST","INTMD","PC","A","2014",26.9,
"SVK","NATPOPDIST","RURAL","PC","A","2014",24.9,
"SWE","NATPOPDIST","INTMD","PC","A","2014",30,
"CHE","NATPOPDIST","RURAL","PC","A","2014",8.9,
"USA","NATPOPDIST","RURAL","PC","A","2014",37.7,
"CHL","NATPOPDIST","URBAN","PC","A","2014",48,
"EST","NATPOPDIST","INTMD","PC","A","2014",78.9,
"SVN","NATPOPDIST","URBAN","PC","A","2014",0,
"AUS","NATPOPDIST","URBAN","PC","A","2014",70,
"CAN","NATPOPDIST","URBAN","PC","A","2014",56.4,
"FIN","NATPOPDIST","URBAN","PC","A","2014",28.9,
"KOR","NATPOPDIST","INTMD","PC","A","2014",13.2,
"NLD","NATPOPDIST","INTMD","PC","A","2014",14.9,
"NZL","NATPOPDIST","RURAL","PC","A","2014",0,
"POL","NATPOPDIST","INTMD","PC","A","2014",31.2,
"PRT","NATPOPDIST","RURAL","PC","A","2014",20.2,
"SWE","NATPOPDIST","RURAL","PC","A","2014",47.8,
"USA","NATPOPDIST","URBAN","PC","A","2014",42.1,
"EST","NATPOPDIST","RURAL","PC","A","2014",9.6,
"AUT","NATPOPDIST","INTMD","PC","A","2014",31,
"BEL","NATPOPDIST","RURAL","PC","A","2014",2.5,
"CZE","NATPOPDIST","INTMD","PC","A","2014",83.3,
"DNK","NATPOPDIST","RURAL","PC","A","2014",41.8,
"DEU","NATPOPDIST","RURAL","PC","A","2014",17.5,
"GRC","NATPOPDIST","URBAN","PC","A","2014",35.4,
"IRL","NATPOPDIST","URBAN","PC","A","2014",27.5,
"KOR","NATPOPDIST","URBAN","PC","A","2014",69.6,
"NLD","NATPOPDIST","URBAN","PC","A","2014",85.1,
"ESP","NATPOPDIST","INTMD","PC","A","2014",38,
"TUR","NATPOPDIST","INTMD","PC","A","2014",23.3,
"GBR","NATPOPDIST","RURAL","PC","A","2014",2,
"CHL","NATPOPDIST","INTMD","PC","A","2014",16.3,
"OECD","NATPOPDIST","INTMD","PC","A","2014",26,
"OECD","NATPOPDIST","RURAL","PC","A","2014",25.1,
"OECD","NATPOPDIST","URBAN","PC","A","2014",48.2,
"LUX","NATPOPDIST","INTMD","PC","A","2014",100,
"LUX","NATPOPDIST","RURAL","PC","A","2014",0,
"LUX","NATPOPDIST","URBAN","PC","A","2014",0,
"LVA","NATPOPDIST","INTMD","PC","A","2014",15.5,
"LVA","NATPOPDIST","RURAL","PC","A","2014",44.1,
"LVA","NATPOPDIST","URBAN","PC","A","2014",59.9,
"LTU","NATPOPDIST","INTMD","PC","A","2014",31.1,
"LTU","NATPOPDIST","RURAL","PC","A","2014",41.8,
"LTU","NATPOPDIST","URBAN","PC","A","2014",27.1,
